0,0.97
1,0.98
2,0.98
3,0.98
4,0.97
5,0.99
6,0.97
7,0.99
8,1
9,1
10,1
11,0.99
12,0.98
13,0.98
14,1
15,1
16,0.93
17,0.87
18,0.89
19,0.83
total,0.964982491245623
