0,15,660
0,5,193
0,1,47
1,15,891
1,16,5
1,18,4
2,18,650
2,15,249
2,16,1
3,16,773
3,15,119
3,18,5
3,19,2
3,9,1
4,19,683
4,15,216
4,16,1
5,15,898
5,9,1
5,18,1
6,15,886
6,9,4
6,14,4
6,16,3
6,19,2
6,2,1
7,14,643
7,15,257
8,11,444
8,2,349
8,15,107
9,17,647
9,15,253
10,13,680
10,15,220
11,15,536
11,12,360
11,6,4
12,9,751
12,15,140
12,14,7
12,16,2
13,15,900
14,15,896
14,10,4
15,4,591
15,8,154
15,15,152
15,1,1
16,6,595
16,15,231
16,10,33
16,7,29
16,1,11
16,0,1
17,0,499
17,15,401
18,10,500
18,15,215
18,3,110
18,0,37
18,1,25
18,6,13
19,1,329
19,5,233
19,10,138
19,7,133
19,15,66
19,6,1
